iter	RMSE
0	0.8861265442
1	0.8441551153
2	0.8076763957
3	0.7750069154
4	0.7424894188
5	0.7126954006
6	0.685155185
7	0.6607844215
8	0.6397338323
9	0.6211883536
10	0.6049435931
11	0.5900860276
12	0.5762391046
13	0.5640150242
14	0.5542032238
15	0.5437914417
16	0.535395753
17	0.5275632119
18	0.5211577493
19	0.5151591398
20	0.5094090144
21	0.5048988415
22	0.500791942
23	0.4967903746
24	0.4926976923
25	0.4894081405
26	0.4859614256
27	0.4830847364
28	0.4801700016
29	0.477844033
30	0.475795909
31	0.4738429716
32	0.4718360572
33	0.4693186431
34	0.4677729637
35	0.4660865308
36	0.4645243501
37	0.4628933626
38	0.4613571392
39	0.4599295474
40	0.4586046097
41	0.4574631799
42	0.4564392362
43	0.4553801759
44	0.4541179143
45	0.4531761934
46	0.4521755703
47	0.451204346
48	0.4502169268
49	0.4493269343
50	0.4486121375
51	0.4476418403
52	0.4469143234
53	0.4463469354
54	0.4456434634
55	0.4447968634
56	0.4441902019
57	0.4437188925
58	0.4429063284
59	0.4422603826
60	0.4417987707
61	0.4408770431
62	0.4402825763
63	0.4394760448
64	0.4386887975
65	0.4379228826
66	0.4372018116
67	0.4367414595
68	0.4360534431
69	0.4353676956
70	0.4347842614
71	0.4342978921
72	0.4335636109
73	0.4329402102
74	0.4324163804
75	0.4318495226
76	0.4309987996
77	0.4305963361
78	0.4299764234
79	0.4293154404
80	0.4287927256
81	0.4282718224
82	0.4278718459
83	0.4272439568
84	0.4266583949
85	0.4261891416
86	0.4256233563
87	0.4253158135
88	0.424684054
89	0.4241919519
90	0.4238852699
91	0.423467139
92	0.4228864549
93	0.4224731101
94	0.4221300587
95	0.4217374701
96	0.4211724333
97	0.4207637706
98	0.4202808073
99	0.419878567
100	0.4191815237
101	0.4187420923
102	0.4182505642
103	0.4178555525
104	0.4175435614
105	0.4171819727
106	0.4168280285
107	0.4163812729
108	0.4159461568
109	0.4156133422
110	0.4152205373
111	0.4148860822
112	0.4145583973
113	0.414278863
114	0.4139279741
115	0.413640251
116	0.413205512
117	0.4128755024
118	0.4123658404
119	0.4121313523
120	0.4118904754
121	0.4116306937
122	0.4113936485
123	0.4110976911
124	0.410918099
125	0.4106834797
126	0.4102257081
127	0.4099318002
128	0.4095473909
129	0.4092125452
130	0.4089473257
131	0.4086958989
132	0.4083816518
133	0.4081671404
134	0.4079340096
135	0.4075825008
136	0.4071605856
137	0.4068969976
138	0.4066205988
139	0.4063346377
140	0.4060167183
141	0.4057403879
142	0.4054247529
143	0.4051884889
144	0.405038497
145	0.4046954722
146	0.4044185911
147	0.4040412425
148	0.4038004477
149	0.4034517876
150	0.4031271566
151	0.4027358803
152	0.402615074
153	0.4024068544
154	0.4021950801
155	0.4020306074
156	0.4018285387
157	0.4015617179
158	0.4013926619
159	0.4012131841
160	0.4010033941
161	0.4007637382
162	0.400548432
163	0.4002001068
164	0.3998999553
165	0.3997526177
166	0.3994948612
167	0.3993544747
168	0.3991947057
169	0.3989484378
170	0.3987444632
171	0.3985440312
172	0.3982461766
173	0.397883679
174	0.3976686325
175	0.3974759692
176	0.3972211675
177	0.3969833286
178	0.3968197893
179	0.3967014162
180	0.3965000978
181	0.396387027
182	0.3961895421
183	0.3961174487
184	0.3958799806
185	0.3956640436
